episode,time
2,30.172586679458618
3,34.25679302215576
4,6.798720121383667
5,6.940069198608398
6,6.917428016662598
7,6.92192268371582
8,6.931945562362671
9,6.908625841140747
10,6.862700462341309
11,9.782674551010132
12,9.866948366165161
13,9.693451642990112
14,9.792969226837158
15,9.681387424468994
16,9.58268928527832
17,9.573608636856079
18,9.653768301010132
19,9.420334100723267
20,9.540679931640625
21,9.913165807723999
22,9.860049724578857
23,9.843698501586914
24,9.397597551345825
25,9.877230167388916
26,9.383018016815186
27,9.824380159378052
28,9.663249492645264
29,10.176666021347046
30,9.580394268035889
31,10.08334755897522
32,9.70708680152893
33,9.709389448165894
34,10.058974981307983
35,9.803471803665161
36,9.650247573852539
37,9.932989358901978
38,9.706710815429688
39,9.639184713363647
40,9.94306206703186
41,9.783320188522339
42,9.638236284255981
43,9.643413543701172
44,10.114777565002441
45,9.863268613815308
46,9.699191570281982
47,10.248594045639038
48,9.496876239776611
49,9.89716649055481
50,10.229782342910767
51,9.846200942993164
52,9.702440738677979
53,9.945597171783447
54,9.881453037261963
55,9.760611295700073
56,9.534391641616821
57,9.424544334411621
58,9.891899585723877
59,9.478482484817505
60,10.236063480377197
61,9.750169038772583
62,9.677501440048218
63,9.90823245048523
64,9.636727333068848
65,9.600143194198608
66,10.166193723678589
67,9.795520305633545
68,9.567684173583984
69,9.587542533874512
70,9.994439601898193
71,10.036309719085693
72,9.726269721984863
73,9.67210340499878
74,9.92276906967163
75,9.652230501174927
76,9.914844036102295
77,10.082489252090454
78,9.902142763137817
79,10.024314880371094
80,9.705047845840454
81,9.667761087417603
82,9.008412599563599
83,9.84403395652771
84,9.552152872085571
85,9.697300672531128
86,10.1673002243042
87,10.086867809295654
88,9.706558227539062
89,9.963715553283691
90,9.98575210571289
91,10.199856519699097
92,9.850547552108765
93,10.115811347961426
94,9.495386838912964
95,9.945279598236084
96,10.700417280197144
97,9.808474779129028
98,10.187608003616333
99,10.346204996109009
100,10.182746648788452
101,9.683776617050171
102,10.104686975479126
103,9.818397998809814
104,9.886154890060425
105,9.425775527954102
106,9.683662176132202
107,9.84799337387085
108,9.760407447814941
109,9.93773078918457
110,9.600032806396484
111,9.499778985977173
112,10.033912897109985
113,9.877835035324097
114,9.996596336364746
115,10.093894958496094
116,10.116793870925903
117,9.888667106628418
118,9.438425064086914
119,10.360008478164673
120,9.638458967208862
121,9.649818181991577
122,9.508617877960205
123,9.637574195861816
124,9.702547073364258
125,10.085652112960815
126,9.783165216445923
127,9.531636953353882
128,9.956392526626587
129,9.980497598648071
130,9.779003620147705
131,9.633538722991943
132,10.21351957321167
133,9.68960452079773
134,9.890212535858154
135,9.916692018508911
136,9.66658091545105
137,9.535479068756104
138,9.890020847320557
139,9.494985342025757
140,9.711921215057373
141,9.416675806045532
142,9.83853530883789
143,9.962664604187012
144,9.33633017539978
145,10.357759952545166
146,9.650441408157349
147,9.664772033691406
148,9.832907676696777
149,10.021571159362793
150,9.548868417739868
151,9.983412504196167
152,10.0205819606781
153,9.825416326522827
154,9.620919942855835
155,10.269983530044556
156,9.700668573379517
157,9.573652267456055
158,10.51207423210144
159,9.651500225067139
160,9.48614501953125
161,10.184009552001953
162,10.268376588821411
163,9.65413212776184
164,9.539299249649048
165,9.926037549972534
166,9.697889566421509
167,10.123355627059937
168,9.651546001434326
169,10.11098599433899
170,9.533928155899048
171,9.683647632598877
172,10.279633522033691
173,9.56112790107727
174,9.895058155059814
175,9.969141244888306
176,10.151188850402832
177,9.2799813747406
178,9.802809476852417
179,9.888395309448242
180,10.039166688919067
181,9.999933004379272
182,9.811950445175171
183,9.462501764297485
184,9.938573122024536
185,9.91275405883789
186,9.767388105392456
187,9.988728046417236
188,8.109587907791138
189,9.64666223526001
190,9.384750366210938
191,10.09977650642395
192,9.910394668579102
193,9.817793607711792
194,10.056224346160889
195,7.127409219741821
196,6.851430654525757
197,9.70011591911316
198,9.730265855789185
199,9.520586252212524
200,9.452959537506104
201,9.982473134994507
202,9.736042022705078
203,9.499592304229736
204,10.339820384979248
205,9.511794567108154
206,9.784016609191895
207,9.009499073028564
208,9.832776308059692
209,9.577869892120361
210,8.585931301116943
